Date,TSLA,BND,SPY
2024-06-11,66.59004974365234,522.8457641601562,170.66000366210938
2024-06-12,66.89567565917969,527.139892578125,177.2899932861328
2024-06-13,67.19202423095703,528.2012939453125,182.47000122070312
2024-06-14,67.29389953613281,528.5225830078125,178.00999450683594
2024-06-17,67.04385375976562,532.7291259765625,187.44000244140625
2024-06-18,67.27537536621094,534.08251953125,184.86000061035156
2024-06-20,67.1457290649414,532.6317749023438,181.57000732421875
2024-06-21,67.16423797607422,531.9176025390625,183.00999450683594
2024-06-24,67.20128631591797,530.1885986328125,182.5800018310547
2024-06-25,67.23831939697266,532.2303466796875,187.35000610351562
2024-06-26,66.92343139648438,532.8946533203125,196.3699951171875
2024-06-27,67.04385375976562,533.7347412109375,197.4199981689453
2024-06-28,66.72897338867188,531.6343994140625,197.8800048828125
2024-07-01,66.37687683105469,532.7285766601562,209.86000061035156
2024-07-02,66.57196044921875,536.3136596679688,231.25999450683594
2024-07-03,66.95284271240234,538.70703125,246.38999938964844
2024-07-05,67.2594223022461,541.8134765625,251.52000427246094
2024-07-08,67.2594223022461,542.4386596679688,252.94000244140625
2024-07-09,67.2315444946289,542.9661254882812,262.3299865722656
2024-07-10,67.28726959228516,548.3389892578125,263.260009765625
2024-07-11,67.6217269897461,543.61083984375,241.02999877929688
2024-07-12,67.79823303222656,547.0397338867188,248.22999572753906
2024-07-15,67.58456420898438,548.5441284179688,252.63999938964844
2024-07-16,67.84468841552734,551.7969970703125,256.55999755859375
2024-07-17,67.90970611572266,544.0601806640625,248.5
2024-07-18,67.73320770263672,539.8790893554688,249.22999572753906
2024-07-19,67.55668640136719,536.2941284179688,239.1999969482422
2024-07-22,67.52885437011719,541.8232421875,251.50999450683594
2024-07-23,67.53810119628906,540.9733276367188,246.3800048828125
2024-07-24,67.343017578125,528.7135620117188,215.99000549316406
2024-07-25,67.49166107177734,525.958740234375,220.25
2024-07-26,67.76107025146484,531.8492431640625,219.8000030517578
2024-07-29,67.84468841552734,532.161865234375,232.10000610351562
2024-07-30,67.92829132080078,529.4656372070312,222.6199951171875
2024-07-31,68.29989624023438,538.0719604492188,232.07000732421875
2024-08-01,68.55520629882812,530.4523315429688,216.86000061035156
2024-08-02,69.33797454833984,520.5762329101562,207.6699981689453
2024-08-05,69.2727279663086,505.4151306152344,198.8800048828125
2024-08-06,68.84408569335938,510.0748596191406,200.63999938964844
2024-08-07,68.67634582519531,506.6654968261719,191.75999450683594
2024-08-08,68.5738296508789,518.3781127929688,198.83999633789062
2024-08-09,68.8161392211914,520.6641235351562,200.0
2024-08-12,68.9372787475586,520.9376831054688,197.49000549316406
2024-08-13,69.19818115234375,529.5047607421875,207.8300018310547
2024-08-14,69.3286361694336,531.17529296875,201.3800048828125
2024-08-15,69.03974914550781,540.2797241210938,214.13999938964844
2024-08-16,69.18885803222656,541.490966796875,216.1199951171875
2024-08-19,69.2727279663086,546.6685791015625,222.72000122070312
2024-08-20,69.47772979736328,545.7796020507812,221.10000610351562
2024-08-21,69.62682342529297,547.6550903320312,223.27000427246094
2024-08-22,69.34727478027344,543.3568725585938,210.66000366210938
2024-08-23,69.65476989746094,549.130126953125,220.32000732421875
2024-08-26,69.58023071289062,547.8211669921875,213.2100067138672
2024-08-27,69.58023071289062,548.5733642578125,209.2100067138672
2024-08-28,69.53364562988281,545.3887939453125,205.75
2024-08-29,69.43115234375,545.4375610351562,206.27999877929688
2024-08-30,69.29136657714844,550.6443481445312,214.11000061035156
